Season,MatchID,Sum of MatchWeek,HomeTeam,AwayTeam,Sum of FullTimeHomeTeamGoals,Sum of FullTimeAwayTeamGoals,FullTimeResult,Sum of HomeTeamPoints,Sum of AwayTeamPoints
1993-1994,1993-1994_Arsenal_Aston Villa,11,Arsenal,Aston Villa,1,2,A,0,3
1993-1994,1993-1994_Arsenal_Blackburn,26,Arsenal,Blackburn,1,0,H,3,0
1993-1994,1993-1994_Arsenal_Coventry,1,Arsenal,Coventry,0,3,A,0,3
1993-1994,1993-1994_Arsenal_Everton,3,Arsenal,Everton,2,0,H,3,0
1993-1994,1993-1994_Arsenal_Ipswich,4,Arsenal,Ipswich,4,0,H,3,0
1993-1994,1993-1994_Arsenal_Leeds,2,Arsenal,Leeds,2,1,H,3,0
1993-1994,1993-1994_Arsenal_Liverpool,31,Arsenal,Liverpool,1,0,H,3,0
1993-1994,1993-1994_Arsenal_Man City,8,Arsenal,Man City,0,0,D,1,1
1993-1994,1993-1994_Arsenal_Man United,30,Arsenal,Man United,2,2,D,1,1
1993-1994,1993-1994_Arsenal_Newcastle,13,Arsenal,Newcastle,2,1,H,3,0
1993-1994,1993-1994_Arsenal_Norwich,10,Arsenal,Norwich,0,0,D,1,1
1993-1994,1993-1994_Arsenal_Oldham,21,Arsenal,Oldham,1,1,D,1,1
1993-1994,1993-1994_Arsenal_QPR,19,Arsenal,QPR,0,0,D,1,1
1993-1994,1993-1994_Arsenal_Sheffield United,17,Arsenal,Sheffield United,3,0,H,3,0
1993-1994,1993-1994_Arsenal_Sheffield Weds,15,Arsenal,Sheffield Weds,1,0,H,3,0
1993-1994,1993-1994_Arsenal_Southampton,6,Arsenal,Southampton,1,0,H,3,0
1993-1994,1993-1994_Arsenal_Swindon,33,Arsenal,Swindon,1,1,D,1,1
1993-1994,1993-1994_Arsenal_Tottenham,14,Arsenal,Tottenham,1,1,D,1,1
1993-1994,1993-1994_Aston Villa_Blackburn,18,Aston Villa,Blackburn,0,1,A,0,3
1993-1994,1993-1994_Aston Villa_Chelsea,9,Aston Villa,Chelsea,1,0,H,3,0
1993-1994,1993-1994_Aston Villa_Coventry,4,Aston Villa,Coventry,0,0,D,1,1
1993-1994,1993-1994_Aston Villa_Everton,32,Aston Villa,Everton,0,0,D,1,1
1993-1994,1993-1994_Aston Villa_Ipswich,28,Aston Villa,Ipswich,0,1,A,0,3
1993-1994,1993-1994_Aston Villa_Leeds,22,Aston Villa,Leeds,1,0,H,3,0
1993-1994,1993-1994_Aston Villa_Man City,25,Aston Villa,Man City,0,0,D,1,1
1993-1994,1993-1994_Aston Villa_Man United,2,Aston Villa,Man United,1,2,A,0,3
1993-1994,1993-1994_Aston Villa_Newcastle,7,Aston Villa,Newcastle,0,2,A,0,3
1993-1994,1993-1994_Aston Villa_Oldham,30,Aston Villa,Oldham,1,2,A,0,3
1993-1994,1993-1994_Aston Villa_QPR,1,Aston Villa,QPR,4,1,H,3,0
1993-1994,1993-1994_Aston Villa_Sheffield United,12,Aston Villa,Sheffield United,1,0,H,3,0
1993-1994,1993-1994_Aston Villa_Sheffield Weds,14,Aston Villa,Sheffield Weds,2,2,D,1,1
1993-1994,1993-1994_Aston Villa_Southampton,12,Aston Villa,Southampton,0,2,A,0,3
1993-1994,1993-1994_Aston Villa_Swindon,23,Aston Villa,Swindon,5,0,H,3,0
1993-1994,1993-1994_Aston Villa_Tottenham,3,Aston Villa,Tottenham,1,0,H,3,0
1993-1994,1993-1994_Aston Villa_West Ham,20,Aston Villa,West Ham,3,1,H,3,0
1993-1994,1993-1994_Aston Villa_Wimbledon,15,Aston Villa,Wimbledon,0,1,A,0,3
1993-1994,1993-1994_Blackburn_Arsenal,3,Blackburn,Arsenal,1,1,D,1,1
1993-1994,1993-1994_Blackburn_Chelsea,14,Blackburn,Chelsea,2,0,H,3,0
1993-1994,1993-1994_Blackburn_Coventry,12,Blackburn,Coventry,2,1,H,3,0
1993-1994,1993-1994_Blackburn_Everton,17,Blackburn,Everton,2,0,H,3,0
1993-1994,1993-1994_Blackburn_Leeds,21,Blackburn,Leeds,2,1,H,3,0
1993-1994,1993-1994_Blackburn_Liverpool,27,Blackburn,Liverpool,2,0,H,3,0
1993-1994,1993-1994_Blackburn_Man City,16,Blackburn,Man City,2,0,H,3,0
1993-1994,1993-1994_Blackburn_Man United,33,Blackburn,Man United,2,0,H,3,0
1993-1994,1993-1994_Blackburn_Newcastle,24,Blackburn,Newcastle,1,0,H,3,0
1993-1994,1993-1994_Blackburn_Norwich,1,Blackburn,Norwich,2,3,A,0,3
1993-1994,1993-1994_Blackburn_Oldham,2,Blackburn,Oldham,1,0,H,3,0
1993-1994,1993-1994_Blackburn_Sheffield United,8,Blackburn,Sheffield United,0,0,D,1,1
1993-1994,1993-1994_Blackburn_Sheffield Weds,6,Blackburn,Sheffield Weds,1,1,D,1,1
1993-1994,1993-1994_Blackburn_Southampton,12,Blackburn,Southampton,2,0,H,3,0
1993-1994,1993-1994_Blackburn_Swindon,31,Blackburn,Swindon,3,1,H,3,0
1993-1994,1993-1994_Blackburn_Tottenham,10,Blackburn,Tottenham,1,0,H,3,0
1993-1994,1993-1994_Blackburn_West Ham,5,Blackburn,West Ham,0,2,A,0,3
1993-1994,1993-1994_Blackburn_Wimbledon,22,Blackburn,Wimbledon,3,0,H,3,0
1993-1994,1993-1994_Chelsea_Arsenal,12,Chelsea,Arsenal,0,2,A,0,3
1993-1994,1993-1994_Chelsea_Aston Villa,21,Chelsea,Aston Villa,1,1,D,1,1
1993-1994,1993-1994_Chelsea_Blackburn,1,Chelsea,Blackburn,1,2,A,0,3
1993-1994,1993-1994_Chelsea_Everton,19,Chelsea,Everton,4,2,H,3,0
1993-1994,1993-1994_Chelsea_Ipswich,15,Chelsea,Ipswich,1,1,D,1,1
1993-1994,1993-1994_Chelsea_Liverpool,6,Chelsea,Liverpool,1,0,H,3,0
1993-1994,1993-1994_Chelsea_Man City,12,Chelsea,Man City,0,0,D,1,1
1993-1994,1993-1994_Chelsea_Man United,4,Chelsea,Man United,1,0,H,3,0
1993-1994,1993-1994_Chelsea_Newcastle,17,Chelsea,Newcastle,1,0,H,3,0
1993-1994,1993-1994_Chelsea_Norwich,8,Chelsea,Norwich,1,2,A,0,3
1993-1994,1993-1994_Chelsea_Oldham,10,Chelsea,Oldham,0,1,A,0,3
1993-1994,1993-1994_Chelsea_QPR,2,Chelsea,QPR,2,0,H,3,0
1993-1994,1993-1994_Chelsea_Sheffield Weds,3,Chelsea,Sheffield Weds,1,1,D,1,1
1993-1994,1993-1994_Chelsea_Southampton,33,Chelsea,Southampton,2,0,H,3,0
1993-1994,1993-1994_Chelsea_Tottenham,26,Chelsea,Tottenham,4,3,H,3,0
1993-1994,1993-1994_Chelsea_West Ham,31,Chelsea,West Ham,2,0,H,3,0
1993-1994,1993-1994_Chelsea_Wimbledon,29,Chelsea,Wimbledon,2,0,H,3,0
1993-1994,1993-1994_Coventry_Arsenal,14,Coventry,Arsenal,1,0,H,3,0
1993-1994,1993-1994_Coventry_Aston Villa,27,Coventry,Aston Villa,0,1,A,0,3
1993-1994,1993-1994_Coventry_Chelsea,5,Coventry,Chelsea,1,1,D,1,1
1993-1994,1993-1994_Coventry_Everton,11,Coventry,Everton,2,1,H,3,0
1993-1994,1993-1994_Coventry_Ipswich,21,Coventry,Ipswich,1,0,H,3,0
1993-1994,1993-1994_Coventry_Leeds,6,Coventry,Leeds,0,2,A,0,3
1993-1994,1993-1994_Coventry_Liverpool,3,Coventry,Liverpool,1,0,H,3,0
1993-1994,1993-1994_Coventry_Man City,24,Coventry,Man City,4,0,H,3,0
1993-1994,1993-1994_Coventry_Man United,13,Coventry,Man United,0,1,A,0,3
1993-1994,1993-1994_Coventry_Newcastle,1,Coventry,Newcastle,2,1,H,3,0
1993-1994,1993-1994_Coventry_Norwich,31,Coventry,Norwich,2,1,H,3,0
1993-1994,1993-1994_Coventry_Oldham,16,Coventry,Oldham,1,1,D,1,1
1993-1994,1993-1994_Coventry_QPR,21,Coventry,QPR,0,1,A,0,3
1993-1994,1993-1994_Coventry_Sheffield United,10,Coventry,Sheffield United,0,0,D,1,1
1993-1994,1993-1994_Coventry_Southampton,8,Coventry,Southampton,1,1,D,1,1
1993-1994,1993-1994_Coventry_Swindon,19,Coventry,Swindon,1,1,D,1,1
1993-1994,1993-1994_Coventry_West Ham,2,Coventry,West Ham,1,1,D,1,1
1993-1994,1993-1994_Coventry_Wimbledon,33,Coventry,Wimbledon,1,2,A,0,3
1993-1994,1993-1994_Everton_Arsenal,24,Everton,Arsenal,1,1,D,1,1
1993-1994,1993-1994_Everton_Aston Villa,3,Everton,Aston Villa,0,1,A,0,3
1993-1994,1993-1994_Everton_Chelsea,22,Everton,Chelsea,4,2,H,3,0
1993-1994,1993-1994_Everton_Ipswich,23,Everton,Ipswich,0,0,D,1,1
1993-1994,1993-1994_Everton_Leeds,12,Everton,Leeds,1,1,D,1,1
1993-1994,1993-1994_Everton_Liverpool,5,Everton,Liverpool,2,0,H,3,0
1993-1994,1993-1994_Everton_Man City,1,Everton,Man City,1,0,H,3,0
1993-1994,1993-1994_Everton_Man United,9,Everton,Man United,0,1,A,0,3
1993-1994,1993-1994_Everton_Newcastle,16,Everton,Newcastle,0,2,A,0,3
1993-1994,1993-1994_Everton_Norwich,6,Everton,Norwich,1,5,A,0,3
1993-1994,1993-1994_Everton_Oldham,27,Everton,Oldham,2,1,H,3,0
1993-1994,1993-1994_Everton_QPR,12,Everton,QPR,0,3,A,0,3
1993-1994,1993-1994_Everton_Sheffield United,2,Everton,Sheffield United,4,2,H,3,0
1993-1994,1993-1994_Everton_Sheffield Weds,17,Everton,Sheffield Weds,0,2,A,0,3
1993-1994,1993-1994_Everton_Southampton,14,Everton,Southampton,1,0,H,3,0
1993-1994,1993-1994_Everton_Swindon,20,Everton,Swindon,6,2,H,3,0
1993-1994,1993-1994_Everton_Tottenham,31,Everton,Tottenham,0,1,A,0,3
1993-1994,1993-1994_Everton_West Ham,18,Everton,West Ham,0,1,A,0,3
1993-1994,1993-1994_Ipswich_Arsenal,27,Ipswich,Arsenal,1,5,A,0,3
1993-1994,1993-1994_Ipswich_Aston Villa,5,Ipswich,Aston Villa,1,2,A,0,3
1993-1994,1993-1994_Ipswich_Blackburn,13,Ipswich,Blackburn,1,0,H,3,0
1993-1994,1993-1994_Ipswich_Chelsea,2,Ipswich,Chelsea,1,0,H,3,0
1993-1994,1993-1994_Ipswich_Everton,10,Ipswich,Everton,0,2,A,0,3
1993-1994,1993-1994_Ipswich_Leeds,8,Ipswich,Leeds,0,0,D,1,1
1993-1994,1993-1994_Ipswich_Liverpool,18,Ipswich,Liverpool,1,2,A,0,3
1993-1994,1993-1994_Ipswich_Man City,32,Ipswich,Man City,2,2,D,1,1
1993-1994,1993-1994_Ipswich_Newcastle,3,Ipswich,Newcastle,1,1,D,1,1
1993-1994,1993-1994_Ipswich_Norwich,16,Ipswich,Norwich,2,1,H,3,0
1993-1994,1993-1994_Ipswich_Oldham,14,Ipswich,Oldham,0,0,D,1,1
1993-1994,1993-1994_Ipswich_QPR,31,Ipswich,QPR,1,3,A,0,3
1993-1994,1993-1994_Ipswich_Sheffield United,26,Ipswich,Sheffield United,3,2,H,3,0
1993-1994,1993-1994_Ipswich_Sheffield Weds,11,Ipswich,Sheffield Weds,1,4,A,0,3
1993-1994,1993-1994_Ipswich_Southampton,1,Ipswich,Southampton,1,0,H,3,0
1993-1994,1993-1994_Ipswich_Tottenham,6,Ipswich,Tottenham,2,2,D,1,1
1993-1994,1993-1994_Ipswich_West Ham,17,Ipswich,West Ham,1,1,D,1,1
1993-1994,1993-1994_Ipswich_Wimbledon,21,Ipswich,Wimbledon,0,0,D,1,1
1993-1994,1993-1994_Leeds_Arsenal,16,Leeds,Arsenal,2,1,H,3,0
1993-1994,1993-1994_Leeds_Aston Villa,29,Leeds,Aston Villa,2,0,H,3,0
1993-1994,1993-1994_Leeds_Blackburn,9,Leeds,Blackburn,3,3,D,1,1
1993-1994,1993-1994_Leeds_Chelsea,11,Leeds,Chelsea,4,1,H,3,0
1993-1994,1993-1994_Leeds_Coventry,30,Leeds,Coventry,1,0,H,3,0
1993-1994,1993-1994_Leeds_Ipswich,20,Leeds,Ipswich,0,0,D,1,1
1993-1994,1993-1994_Leeds_Liverpool,24,Leeds,Liverpool,2,0,H,3,0
1993-1994,1993-1994_Leeds_Man City,14,Leeds,Man City,3,2,H,3,0
1993-1994,1993-1994_Leeds_Newcastle,33,Leeds,Newcastle,1,1,D,1,1
1993-1994,1993-1994_Leeds_Norwich,2,Leeds,Norwich,0,4,A,0,3
1993-1994,1993-1994_Leeds_Oldham,3,Leeds,Oldham,1,0,H,3,0
1993-1994,1993-1994_Leeds_QPR,17,Leeds,QPR,1,1,D,1,1
1993-1994,1993-1994_Leeds_Sheffield United,5,Leeds,Sheffield United,2,1,H,3,0
1993-1994,1993-1994_Leeds_Southampton,27,Leeds,Southampton,0,0,D,1,1
1993-1994,1993-1994_Leeds_Swindon,13,Leeds,Swindon,3,0,H,3,0
1993-1994,1993-1994_Leeds_West Ham,1,Leeds,West Ham,1,0,H,3,0
1993-1994,1993-1994_Leeds_Wimbledon,7,Leeds,Wimbledon,4,0,H,3,0
1993-1994,1993-1994_Liverpool_Arsenal,7,Liverpool,Arsenal,0,0,D,1,1
1993-1994,1993-1994_Liverpool_Aston Villa,13,Liverpool,Aston Villa,2,1,H,3,0
1993-1994,1993-1994_Liverpool_Blackburn,4,Liverpool,Blackburn,0,1,A,0,3
1993-1994,1993-1994_Liverpool_Chelsea,30,Liverpool,Chelsea,2,1,H,3,0
1993-1994,1993-1994_Liverpool_Coventry,26,Liverpool,Coventry,1,0,H,3,0
1993-1994,1993-1994_Liverpool_Everton,28,Liverpool,Everton,2,1,H,3,0
1993-1994,1993-1994_Liverpool_Leeds,3,Liverpool,Leeds,2,0,H,3,0
1993-1994,1993-1994_Liverpool_Man City,21,Liverpool,Man City,2,1,H,3,0
1993-1994,1993-1994_Liverpool_Man United,19,Liverpool,Man United,3,3,D,1,1
1993-1994,1993-1994_Liverpool_Oldham,8,Liverpool,Oldham,2,1,H,3,0
1993-1994,1993-1994_Liverpool_QPR,14,Liverpool,QPR,3,2,H,3,0
1993-1994,1993-1994_Liverpool_Sheffield Weds,1,Liverpool,Sheffield Weds,2,0,H,3,0
1993-1994,1993-1994_Liverpool_Southampton,10,Liverpool,Southampton,4,2,H,3,0
1993-1994,1993-1994_Liverpool_Swindon,15,Liverpool,Swindon,2,2,D,1,1
1993-1994,1993-1994_Liverpool_Tottenham,2,Liverpool,Tottenham,1,2,A,0,3
1993-1994,1993-1994_Liverpool_West Ham,11,Liverpool,West Ham,2,0,H,3,0
1993-1994,1993-1994_Liverpool_Wimbledon,17,Liverpool,Wimbledon,1,1,D,1,1
1993-1994,1993-1994_Man City_Arsenal,20,Man City,Arsenal,0,0,D,1,1
1993-1994,1993-1994_Man City_Blackburn,2,Man City,Blackburn,0,2,A,0,3
1993-1994,1993-1994_Man City_Coventry,3,Man City,Coventry,1,1,D,1,1
1993-1994,1993-1994_Man City_Everton,14,Man City,Everton,1,0,H,3,0
1993-1994,1993-1994_Man City_Ipswich,22,Man City,Ipswich,2,1,H,3,0
1993-1994,1993-1994_Man City_Leeds,1,Man City,Leeds,1,1,D,1,1
1993-1994,1993-1994_Man City_Liverpool,9,Man City,Liverpool,1,1,D,1,1
1993-1994,1993-1994_Man City_Man United,11,Man City,Man United,2,3,A,0,3
1993-1994,1993-1994_Man City_Oldham,7,Man City,Oldham,1,1,D,1,1
1993-1994,1993-1994_Man City_QPR,4,Man City,QPR,3,0,H,3,0
1993-1994,1993-1994_Man City_Sheffield United,30,Man City,Sheffield United,0,0,D,1,1
1993-1994,1993-1994_Man City_Sheffield Weds,13,Man City,Sheffield Weds,1,3,A,0,3
1993-1994,1993-1994_Man City_Southampton,17,Man City,Southampton,1,1,D,1,1
1993-1994,1993-1994_Man City_Swindon,26,Man City,Swindon,2,1,H,3,0
1993-1994,1993-1994_Man City_Tottenham,15,Man City,Tottenham,0,2,A,0,3
1993-1994,1993-1994_Man City_West Ham,23,Man City,West Ham,0,0,D,1,1
1993-1994,1993-1994_Man City_Wimbledon,28,Man City,Wimbledon,0,1,A,0,3
1993-1994,1993-1994_Man United_Arsenal,5,Man United,Arsenal,1,0,H,3,0
1993-1994,1993-1994_Man United_Aston Villa,16,Man United,Aston Villa,3,1,H,3,0
1993-1994,1993-1994_Man United_Blackburn,17,Man United,Blackburn,1,1,D,1,1
1993-1994,1993-1994_Man United_Chelsea,27,Man United,Chelsea,0,1,A,0,3
1993-1994,1993-1994_Man United_Everton,21,Man United,Everton,1,0,H,3,0
1993-1994,1993-1994_Man United_Ipswich,12,Man United,Ipswich,0,0,D,1,1
1993-1994,1993-1994_Man United_Leeds,18,Man United,Leeds,0,0,D,1,1
1993-1994,1993-1994_Man United_Liverpool,32,Man United,Liverpool,1,0,H,3,0
1993-1994,1993-1994_Man United_Newcastle,2,Man United,Newcastle,1,1,D,1,1
1993-1994,1993-1994_Man United_Norwich,14,Man United,Norwich,2,2,D,1,1
1993-1994,1993-1994_Man United_QPR,10,Man United,QPR,2,1,H,3,0
1993-1994,1993-1994_Man United_Sheffield United,1,Man United,Sheffield United,3,0,H,3,0
1993-1994,1993-1994_Man United_Sheffield Weds,29,Man United,Sheffield Weds,5,0,H,3,0
1993-1994,1993-1994_Man United_Swindon,6,Man United,Swindon,4,2,H,3,0
1993-1994,1993-1994_Man United_Tottenham,8,Man United,Tottenham,2,1,H,3,0
1993-1994,1993-1994_Man United_West Ham,3,Man United,West Ham,3,0,H,3,0
1993-1994,1993-1994_Man United_Wimbledon,12,Man United,Wimbledon,3,1,H,3,0
1993-1994,1993-1994_Newcastle_Blackburn,3,Newcastle,Blackburn,1,1,D,1,1
1993-1994,1993-1994_Newcastle_Coventry,25,Newcastle,Coventry,4,0,H,3,0
1993-1994,1993-1994_Newcastle_Everton,2,Newcastle,Everton,1,0,H,3,0
1993-1994,1993-1994_Newcastle_Ipswich,30,Newcastle,Ipswich,2,0,H,3,0
1993-1994,1993-1994_Newcastle_Leeds,16,Newcastle,Leeds,1,1,D,1,1
1993-1994,1993-1994_Newcastle_Liverpool,12,Newcastle,Liverpool,3,0,H,3,0
1993-1994,1993-1994_Newcastle_Man City,18,Newcastle,Man City,2,0,H,3,0
1993-1994,1993-1994_Newcastle_Man United,15,Newcastle,Man United,1,1,D,1,1
1993-1994,1993-1994_Newcastle_Norwich,32,Newcastle,Norwich,3,0,H,3,0
1993-1994,1993-1994_Newcastle_QPR,8,Newcastle,QPR,1,2,A,0,3
1993-1994,1993-1994_Newcastle_Sheffield United,12,Newcastle,Sheffield United,4,0,H,3,0
1993-1994,1993-1994_Newcastle_Sheffield Weds,4,Newcastle,Sheffield Weds,4,2,H,3,0
1993-1994,1993-1994_Newcastle_Southampton,21,Newcastle,Southampton,1,2,A,0,3
1993-1994,1993-1994_Newcastle_Swindon,28,Newcastle,Swindon,7,1,H,3,0
1993-1994,1993-1994_Newcastle_Tottenham,1,Newcastle,Tottenham,0,1,A,0,3
1993-1994,1993-1994_Newcastle_West Ham,6,Newcastle,West Ham,2,0,H,3,0
1993-1994,1993-1994_Newcastle_Wimbledon,10,Newcastle,Wimbledon,4,0,H,3,0
1993-1994,1993-1994_Norwich_Arsenal,23,Norwich,Arsenal,1,1,D,1,1
1993-1994,1993-1994_Norwich_Aston Villa,17,Norwich,Aston Villa,1,2,A,0,3
1993-1994,1993-1994_Norwich_Blackburn,25,Norwich,Blackburn,2,2,D,1,1
1993-1994,1993-1994_Norwich_Chelsea,20,Norwich,Chelsea,1,1,D,1,1
1993-1994,1993-1994_Norwich_Coventry,7,Norwich,Coventry,1,0,H,3,0
1993-1994,1993-1994_Norwich_Everton,30,Norwich,Everton,3,0,H,3,0
1993-1994,1993-1994_Norwich_Ipswich,2,Norwich,Ipswich,1,0,H,3,0
1993-1994,1993-1994_Norwich_Leeds,15,Norwich,Leeds,2,1,H,3,0
1993-1994,1993-1994_Norwich_Liverpool,22,Norwich,Liverpool,2,2,D,1,1
1993-1994,1993-1994_Norwich_Man City,12,Norwich,Man City,1,1,D,1,1
1993-1994,1993-1994_Norwich_Man United,1,Norwich,Man United,0,2,A,0,3
1993-1994,1993-1994_Norwich_Newcastle,19,Norwich,Newcastle,1,2,A,0,3
1993-1994,1993-1994_Norwich_QPR,28,Norwich,QPR,3,4,A,0,3
1993-1994,1993-1994_Norwich_Sheffield Weds,26,Norwich,Sheffield Weds,1,1,D,1,1
1993-1994,1993-1994_Norwich_Swindon,3,Norwich,Swindon,0,0,D,1,1
1993-1994,1993-1994_Norwich_West Ham,9,Norwich,West Ham,0,0,D,1,1
1993-1994,1993-1994_Norwich_Wimbledon,4,Norwich,Wimbledon,0,1,A,0,3
1993-1994,1993-1994_Oldham_Arsenal,9,Oldham,Arsenal,0,0,D,1,1
1993-1994,1993-1994_Oldham_Aston Villa,6,Oldham,Aston Villa,1,1,D,1,1
1993-1994,1993-1994_Oldham_Blackburn,15,Oldham,Blackburn,1,2,A,0,3
1993-1994,1993-1994_Oldham_Chelsea,23,Oldham,Chelsea,2,1,H,3,0
1993-1994,1993-1994_Oldham_Coventry,2,Oldham,Coventry,3,3,D,1,1
1993-1994,1993-1994_Oldham_Everton,4,Oldham,Everton,0,1,A,0,3
1993-1994,1993-1994_Oldham_Ipswich,1,Oldham,Ipswich,0,3,A,0,3
1993-1994,1993-1994_Oldham_Leeds,26,Oldham,Leeds,1,1,D,1,1
1993-1994,1993-1994_Oldham_Liverpool,20,Oldham,Liverpool,0,3,A,0,3
1993-1994,1993-1994_Oldham_Man City,31,Oldham,Man City,0,0,D,1,1
1993-1994,1993-1994_Oldham_Man United,17,Oldham,Man United,2,5,A,0,3
1993-1994,1993-1994_Oldham_Newcastle,11,Oldham,Newcastle,1,3,A,0,3
1993-1994,1993-1994_Oldham_Norwich,13,Oldham,Norwich,2,1,H,3,0
1993-1994,1993-1994_Oldham_Southampton,22,Oldham,Southampton,2,1,H,3,0
1993-1994,1993-1994_Oldham_Swindon,14,Oldham,Swindon,2,1,H,3,0
1993-1994,1993-1994_Oldham_Wimbledon,3,Oldham,Wimbledon,1,1,D,1,1
1993-1994,1993-1994_QPR_Aston Villa,14,QPR,Aston Villa,2,2,D,1,1
1993-1994,1993-1994_QPR_Blackburn,11,QPR,Blackburn,1,0,H,3,0
1993-1994,1993-1994_QPR_Coventry,9,QPR,Coventry,5,1,H,3,0
1993-1994,1993-1994_QPR_Ipswich,7,QPR,Ipswich,3,0,H,3,0
1993-1994,1993-1994_QPR_Liverpool,1,QPR,Liverpool,1,3,A,0,3
1993-1994,1993-1994_QPR_Man City,27,QPR,Man City,1,1,D,1,1
1993-1994,1993-1994_QPR_Man United,22,QPR,Man United,2,3,A,0,3
1993-1994,1993-1994_QPR_Newcastle,20,QPR,Newcastle,1,2,A,0,3
1993-1994,1993-1994_QPR_Norwich,5,QPR,Norwich,2,2,D,1,1
1993-1994,1993-1994_QPR_Oldham,17,QPR,Oldham,2,0,H,3,0
1993-1994,1993-1994_QPR_Sheffield United,3,QPR,Sheffield United,2,1,H,3,0
1993-1994,1993-1994_QPR_Sheffield Weds,18,QPR,Sheffield Weds,1,2,A,0,3
1993-1994,1993-1994_QPR_Southampton,2,QPR,Southampton,2,1,H,3,0
1993-1994,1993-1994_QPR_Tottenham,13,QPR,Tottenham,1,1,D,1,1
1993-1994,1993-1994_QPR_Wimbledon,30,QPR,Wimbledon,1,0,H,3,0
1993-1994,1993-1994_Sheffield United_Blackburn,20,Sheffield United,Blackburn,1,2,A,0,3
1993-1994,1993-1994_Sheffield United_Chelsea,13,Sheffield United,Chelsea,1,0,H,3,0
1993-1994,1993-1994_Sheffield United_Coventry,23,Sheffield United,Coventry,0,0,D,1,1
1993-1994,1993-1994_Sheffield United_Everton,15,Sheffield United,Everton,0,0,D,1,1
1993-1994,1993-1994_Sheffield United_Ipswich,3,Sheffield United,Ipswich,1,1,D,1,1
1993-1994,1993-1994_Sheffield United_Leeds,28,Sheffield United,Leeds,2,2,D,1,1
1993-1994,1993-1994_Sheffield United_Liverpool,17,Sheffield United,Liverpool,0,0,D,1,1
1993-1994,1993-1994_Sheffield United_Man City,6,Sheffield United,Man City,0,1,A,0,3
1993-1994,1993-1994_Sheffield United_Man United,14,Sheffield United,Man United,0,3,A,0,3
1993-1994,1993-1994_Sheffield United_Norwich,11,Sheffield United,Norwich,1,2,A,0,3
1993-1994,1993-1994_Sheffield United_Oldham,18,Sheffield United,Oldham,2,1,H,3,0
1993-1994,1993-1994_Sheffield United_QPR,29,Sheffield United,QPR,1,1,D,1,1
1993-1994,1993-1994_Sheffield United_Sheffield Weds,9,Sheffield United,Sheffield Weds,1,1,D,1,1
1993-1994,1993-1994_Sheffield United_Southampton,31,Sheffield United,Southampton,0,0,D,1,1
1993-1994,1993-1994_Sheffield United_Swindon,1,Sheffield United,Swindon,3,1,H,3,0
1993-1994,1993-1994_Sheffield United_Tottenham,4,Sheffield United,Tottenham,2,2,D,1,1
1993-1994,1993-1994_Sheffield United_West Ham,32,Sheffield United,West Ham,3,2,H,3,0
1993-1994,1993-1994_Sheffield United_Wimbledon,2,Sheffield United,Wimbledon,2,1,H,3,0
1993-1994,1993-1994_Sheffield Weds_Arsenal,2,Sheffield Weds,Arsenal,0,1,A,0,3
1993-1994,1993-1994_Sheffield Weds_Aston Villa,1,Sheffield Weds,Aston Villa,0,0,D,1,1
1993-1994,1993-1994_Sheffield Weds_Blackburn,30,Sheffield Weds,Blackburn,1,2,A,0,3
1993-1994,1993-1994_Sheffield Weds_Chelsea,32,Sheffield Weds,Chelsea,3,1,H,3,0
1993-1994,1993-1994_Sheffield Weds_Coventry,12,Sheffield Weds,Coventry,0,0,D,1,1
1993-1994,1993-1994_Sheffield Weds_Leeds,10,Sheffield Weds,Leeds,3,3,D,1,1
1993-1994,1993-1994_Sheffield Weds_Liverpool,14,Sheffield Weds,Liverpool,3,1,H,3,0
1993-1994,1993-1994_Sheffield Weds_Man United,7,Sheffield Weds,Man United,2,3,A,0,3
1993-1994,1993-1994_Sheffield Weds_Newcastle,27,Sheffield Weds,Newcastle,0,1,A,0,3
1993-1994,1993-1994_Sheffield Weds_Norwich,3,Sheffield Weds,Norwich,3,3,D,1,1
1993-1994,1993-1994_Sheffield Weds_Oldham,12,Sheffield Weds,Oldham,3,0,H,3,0
1993-1994,1993-1994_Sheffield Weds_Sheffield United,21,Sheffield Weds,Sheffield United,3,1,H,3,0
1993-1994,1993-1994_Sheffield Weds_Southampton,5,Sheffield Weds,Southampton,2,0,H,3,0
1993-1994,1993-1994_Sheffield Weds_Swindon,17,Sheffield Weds,Swindon,3,3,D,1,1
1993-1994,1993-1994_Sheffield Weds_Tottenham,19,Sheffield Weds,Tottenham,1,0,H,3,0
1993-1994,1993-1994_Sheffield Weds_West Ham,16,Sheffield Weds,West Ham,5,0,H,3,0
1993-1994,1993-1994_Sheffield Weds_Wimbledon,8,Sheffield Weds,Wimbledon,2,2,D,1,1
1993-1994,1993-1994_Southampton_Arsenal,30,Southampton,Arsenal,0,4,A,0,3
1993-1994,1993-1994_Southampton_Chelsea,17,Southampton,Chelsea,3,1,H,3,0
1993-1994,1993-1994_Southampton_Coventry,20,Southampton,Coventry,1,0,H,3,0
1993-1994,1993-1994_Southampton_Everton,1,Southampton,Everton,0,2,A,0,3
1993-1994,1993-1994_Southampton_Ipswich,14,Southampton,Ipswich,0,1,A,0,3
1993-1994,1993-1994_Southampton_Leeds,4,Southampton,Leeds,0,2,A,0,3
