Player,Pos,Team,Starts,Age,MP,90s,Min,Gls,Ast,G+A,PK,G+A_90,G+A-PK_90
Ryan Christie,MF,Bournemouth,35,28,37,32.3,2907,0,5,5,0,0.15,0.15
Tyler Adams,MF,Bournemouth,1,24,3,1.3,121,0,0,0,0,0,0
Aaron Hickey,DF,Brentford,9,21,9,7.9,713,0,0,0,0,0,0
Ben Mee,DF,Brentford,15,33,16,14.1,1272,2,0,2,0,0.14,0.14
Bryan Mbeumo,FW,Brentford,22,23,25,21.8,1960,9,6,15,3,0.69,0.55
Christian Nørgaard,MF,Brentford,30,29,31,27.8,2505,2,1,3,0,0.11,0.11
Ethan Pinnock,DF,Brentford,28,30,29,28,2521,2,0,2,0,0.07,0.07
Frank Onyeka,MF,Brentford,11,25,26,12.9,1161,1,2,3,0,0.23,0.23
Ivan Toney,FW,Brentford,16,27,17,16.1,1450,4,2,6,0,0.37,0.37
Josh Dasilva,"DF,FW",Brentford,0,24,3,0.3,24,0,0,0,0,0,0
Keane Lewis-Potter,"FW,DF",Brentford,15,22,30,16,1441,3,1,4,0,0.25,0.25
Kevin Schade,"FW,MF",Brentford,3,21,11,3.7,333,2,1,3,0,0.81,0.81
Kristoffer Ajer,DF,Brentford,21,25,28,20.4,1832,2,1,3,0,0.15,0.15
Mads Roerslev,DF,Brentford,22,24,34,22.1,1985,1,2,3,0,0.14,0.14
Mark Flekken,GK,Brentford,37,30,37,36.5,3285,0,1,1,0,0.03,0.03
Mathias Jensen,MF,Brentford,27,27,32,24.5,2204,3,3,6,0,0.25,0.25
Mathias Jørgensen,DF,Brentford,12,33,14,12.1,1087,1,0,1,0,0.08,0.08
Michael Olakigbe,"DF,FW",Brentford,0,19,8,0.7,59,0,0,0,0,0,0
Mikkel Damsgaard,MF,Brentford,7,23,23,9.4,842,0,2,2,0,0.21,0.21
Myles Peart-Harris,"DF,MF",Brentford,0,20,3,0.1,13,0,0,0,0,0,0
Nathan Collins,DF,Brentford,29,22,32,29.5,2652,1,1,2,0,0.07,0.07
Neal Maupay,FW,Brentford,13,26,29,14.7,1321,6,3,9,0,0.61,0.61
Rico Henry,DF,Brentford,5,26,5,4.5,401,0,1,1,0,0.22,0.22
Saman Ghoddos,DF,Brentford,7,29,19,8.2,739,1,0,1,0,0.12,0.12
Sergio Reguilón,DF,Brentford,14,26,16,12.4,1118,0,4,4,0,0.32,0.32
Shandon Baptiste,MF,Brentford,2,25,10,2.5,229,1,1,2,0,0.79,0.79
Thomas Strakosha,GK,Brentford,1,28,2,1.5,135,0,0,0,0,0,0
Vitaly Janelt,"MF,DF",Brentford,37,25,38,33.9,3054,1,3,4,0,0.12,0.12
Yehor Yarmoliuk,MF,Brentford,6,19,27,7.6,688,0,0,0,0,0,0
Yoane Wissa,FW,Brentford,29,26,34,27.7,2493,12,3,15,0,0.54,0.54
Adam Lallana,"MF,FW",Brighton,13,35,25,9.4,850,0,1,1,0,0.11,0.11
Adam Webster,DF,Brighton,13,28,15,12.7,1144,0,0,0,0,0,0
Ansu Fati,"MF,FW",Brighton,3,20,19,5.8,521,2,0,2,0,0.35,0.35
Bart Verbruggen,GK,Brighton,21,20,21,21,1890,0,0,0,0,0,0
Benicio Boaitey,"FW,DF",Brighton,0,19,5,0.4,40,0,0,0,0,0,0
Billy Gilmour,MF,Brighton,24,22,30,23.6,2120,0,1,1,0,0.04,0.04
